parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format	COMMENT
SampleID_Tara	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_barcode#
SampleID_NCBI	Biosample identifier assigned by the National Center for Biotechnology Information	http://purl.obolibrary.org/obo/PMO_00000122	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		BioSamples accession number (SAMEA#)
SampleID_SRA	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		ENA sample accession number (ERS#)
Station label	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_station#
Event label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_event-datetime_station#_event-type
Environmental feature	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		"[abbreviation], full name (ENVO:ID) from which this sample was collected"
"Depth, nominal"	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	TRUE	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.pangaea.de/10.1594/PANGAEA.875582	number		from which this sample was collected
"Size fraction, lower threshold"	aquatic sample minimum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000022	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://doi.pangaea.de/10.1594/PANGAEA.875582	number		used on board to prepare samples
"Size fraction, upper threshold"	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://doi.pangaea.de/10.1594/PANGAEA.875582	number		used on board to prepare samples
Sample material	material sample role	http://purl.obolibrary.org/obo/OBI_0000740	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_station#_environmental-feature_size-fraction
Sample method	comment on investigation	http://purl.obolibrary.org/obo/OBI_0001898	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		"short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)"
Sample code/label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_event-datetime_station#_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode
File name			FALSE						https://doi.org/10.1594/PANGAEA.875575	string		from which water sample data were obtained to describe the environmental feature
Distance			FALSE	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.org/10.1594/PANGAEA.875575	number		interval between the location at which the sample was collected and that of the closest environmental context information
Duration(ISO)			FALSE	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://doi.org/10.1594/PANGAEA.875575	duration	default	interval between the date/time at which the sample was collected and that of the closest environmental context information
Number of observations	number of observations averaged to produce device measurment datum	http://purl.obolibrary.org/obo/PMO_00000016	FALSE						https://doi.org/10.1594/PANGAEA.875575	number		"that meet the criteria: 10 m around the environmental feature nominal depth, distance lag <100 km and date/time lag <2 days"
Nitrite_min			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		minimum value in the selected environmental feature around the sampling date and location
Nitrite_first_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Nitrite_median	concentration of nitrite in water	http://purl.obolibrary.org/obo/ENVO_3100023	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Nitrite_third_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Nitrite_max			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		maximum value in the selected environmental feature around the sampling date and location
Phosphate_min			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		minimum value in the selected environmental feature around the sampling date and location
Phosphate_first_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Phosphate_median	concentration of phosphate in water	http://purl.obolibrary.org/obo/ENVO_3100026	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Phosphate_third_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Phosphate_max			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		maximum value in the selected environmental feature around the sampling date and location
Nitrate and Nitrite_min			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		minimum value in the selected environmental feature around the sampling date and location
Nitrate and Nitrite_first_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Nitrate and Nitrite_median	concentration of nitrate and nitrite in water	http://purl.obolibrary.org/obo/PMO_00000018	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Nitrate and Nitrite_third_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Nitrate and Nitrite_max			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		maximum value in the selected environmental feature around the sampling date and location
Silicate_min			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		minimum value in the selected environmental feature around the sampling date and location
Silicate_first_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location"
Silicate_median	concentration of silicic acid in water	http://purl.obolibrary.org/obo/ENVO_3100034	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location"
Silicate_third_quartile			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		"upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location"
Silicate_max			FALSE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://doi.org/10.1594/PANGAEA.875575	number		maximum value in the selected environmental feature around the sampling date and location
