Sampling_event_ID	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	beam_atten	beam_trans	collection_date	collection_time	ISO_DateTime	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	biome_purl	env_feature	feature_purl	env_material	material_purl	env_package	fluorescence	geo_loc_name	lat	lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_voume	sampling_cruise	sigma-theta	site_name	std_norm_factor	surf_irradiance	temp	turbidity		
AN10_S2_25052010755	SAMN02628401	0.01671	SRS565747	ACM1	112.48	0.42	90.13	25-05-2010	7:55	25-05-2010T07:55:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	10.8	"R/V Knorr, May-June 2010"	19.78	Station 2	326737	796.66	28.63	1.17		
AN10_S3_26052010910	SAMN02628402	0.06538	SRS567311	ACM18	139.68	0.3	92.69	26-05-2010	9:10	26-05-2010T09:10:00	2.42	1018.98	3.76	1846	188.26	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	2	0.2	94.43	3.78	30.8	10.2	"R/V Knorr, May-June 2010"	18.97	Station 3	1475896	2690.35	28.85	1.12		
AN10_S3_26052010823	SAMN02628403	0.06538	SRS567313	ACM19	139.68	0.3	92.69	26-05-2010	8:23	26-05-2010T08:23:00	2.42	1018.98	3.76	1846	188.26	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	156	2	94.43	3.78	30.8	10.4	"R/V Knorr, May-June 2010"	18.97	Station 3	349248	2690.35	28.85	1.12		
AN10_S2_25052010755	SAMN02628404	0.01671	SRS565748	ACM2	112.48	0.42	90.13	25-05-2010	7:55	25-05-2010T07:55:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	2	0.2	98.7	4.5	31.8	10.8	"R/V Knorr, May-June 2010"	19.78	Station 2	824111	796.66	28.63	1.17		
AN10_S23_16062010806	SAMN02628405	0.02794	SRS567886	ACM20	79.8	0.25	93.85	16-06-2010	8:06	16-06-2010T08:06:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	2	0.2	95.39	3.66	26.49	10	"R/V Knorr, May-June 2010"	15.62	Station 23	11447432	1449.22	29.22	1.1		
AN10_S23_160620101015	SAMN02628406	0.02794	SRS581964	ACM21	79.8	0.25	93.85	16-06-2010	10:15	16-06-2010T10:15:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	156	2	95.39	3.66	26.49	10.8	"R/V Knorr, May-June 2010"	15.62	Station 23	146836	1449.22	29.22	1.1		
AN10_S25_18062010757	SAMN02628407	0.07371	SRS581965	ACM22	78.48	0.65	84.92	18-06-2010	7:57	18-06-2010T07:57:00	3.42	1019.66	3.93	1775	213.84	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	2	0.2	108.6	3.95	31.87	9.4	"R/V Knorr, May-June 2010"	19.65	Station 25	337421	2057.58	29.21	1.23		
AN10_S25_18062010845	SAMN02628408	0.07371	SRS582462	ACM23	78.48	0.65	84.92	18-06-2010	8:45	18-06-2010T08:45:00	3.42	1019.66	3.93	1775	213.84	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	156	2	108.6	3.95	31.87	4.85	"R/V Knorr, May-June 2010"	19.65	Station 25	589720	2057.58	29.21	1.23		
AN10_S2_25052010710	SAMN02628409	0.01671	SRS577849	ACM24	112.48	0.42	90.13	25-05-2010	7:10	25-05-2010T07:10:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	2	0.2	98.7	4.5	31.8	4.85	"R/V Knorr, May-June 2010"	19.78	Station 2	603802	796.66	28.63	1.17		
AN10_S2_25052010839	SAMN02628410	0.01671	SRS580495	ACM25	112.48	0.42	90.13	25-05-2010	8:39	25-05-2010T08:39:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	11.1	"R/V Knorr, May-June 2010"	19.78	Station 2	70616943	796.66	28.63	1.17		
