Sample_event_ID	ISO_DateTime	lon	lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
BATS_175_4_2003-04-22_19:06:00	2003-04-22T19:06:00Z	-64.139	31.7	BATS175	BATS	Cast	nd
BATS_181_4_2003-10-07_17:33:00	2003-10-07T17:33:00Z	-64.177	31.626	BATS181	BATS	Cast	nd
BATS_184_4_2004-01-27_16:56:00	2004-01-27T16:56:00Z	-64.13	31.69	BATS184	BATS	Cast	nd
BATS_186_4_2004-03-23_19:48:00	2004-03-23T19:48:00Z	-64.052	31.77	BATS186	BATS	Cast	nd
BATS_195_4_2004-12-08_17:57:00	2004-12-08T17:57:00Z	-64.138	31.687	BATS195	BATS	Cast	nd
BATS_173_3_2003-02-21_19:05:00	2003-02-21T19:05:00Z	-64.173	31.683	BATS173	BATS	Cast	nd
BATS_174_4_2003-03-22_08:51:00	2003-03-22T08:51:00Z	-64.172	31.676	BATS174	BATS	Cast	nd
BATS_178_4_2003-07-15_19:03:00	2003-07-15T19:03:00Z	-64.317	31.648	BATS178	BATS	Cast	nd
BATS_179_4_2003-08-12_17:22:00	2003-08-12T17:22:00Z	-64.187	31.65	BATS179	BATS	Cast	nd
BATS_187_5_2004-04-21_18:39:00	2004-04-21T18:39:00Z	-64.082	31.519	BATS187	BATS	Cast	nd
BATS_192_5_2004-09-14_18:08:00	2004-09-14T18:08:00Z	-64.175	31.554	BATS192	BATS	Cast	nd
BATS_193_4_2004-10-13_17:13:00	2004-10-13T17:13:00Z	-64.296	31.684	BATS193	BATS	Cast	nd
BATS_194_4_2004-11-12_13:58:00	2004-11-12T13:58:00Z	-64.174	31.672	BATS194	BATS	Cast	nd
BATS_176_5_2003-05-20_17:49:00	2003-05-20T17:49:00Z	-64.208	31.627	BATS176	BATS	Cast	nd
BATS_182_4_2003-11-04_18:01:00	2003-11-04T18:01:00Z	-64.184	31.673	BATS182	BATS	Cast	nd
BATS_183_4_2003-12-02_18:02:00	2003-12-02T18:02:00Z	-64.267	31.608	BATS183	BATS	Cast	nd
BATS_188_5_2004-05-18_17:17:00	2004-05-18T17:17:00Z	-64.194	31.689	BATS188	BATS	Cast	nd
BATS_189_3_2004-06-15_17:45:00	2004-06-15T17:45:00Z	-64.252	31.684	BATS189	BATS	Cast	nd
BATS_191_6_2004-08-17_16:58:00	2004-08-17T16:58:00Z	-64.113	31.664	BATS191	BATS	Cast	nd
BATS_185_5_2004-02-24_18:10:00	2004-02-24T18:10:00Z	-64.21	31.712	BATS185	BATS	Cast	nd
BATS_248_5_2009-07-14_22:21:00	2009-07-14T22:21:00Z	-64.165	31.663	BATS248	BATS	Cast	nd
BATS_252_5_2009-11-08_08:04:00	2009-11-08T08:04:00Z	-64.167	31.667	BATS252	BATS	Cast	nd
